age,annual_income,employment_type,education,loan_amount,interest_rate_pct,term_months,credit_score,num_open_accounts,delinquency_30d,residence_type,Default
47,49487.0,Unemployed,HS,5727.0,10.34,36,740.0,7,No,Own,0
44,63941.0,Salaried,Masters,4001.0,12.71,48,688.0,9,No,Mortgage,0
29,50277.0,Salaried,Bachelors,5228.0,5.48,48,651.0,2,Yes,Rent,0
72,44536.0,Salaried,Bachelors,10562.0,6.98,72,719.0,6,No,Own,0
66,64179.0,Unemployed,Masters,22984.0,11.31,72,566.0,3,No,Own,0
42,19723.0,Salaried,PhD,13189.0,10.96,48,646.0,5,Yes,Own,0
34,30504.0,Salaried,Masters,8647.0,10.739999999999998,72,704.0,3,No,Mortgage,1
34,115289.0,Self-Employed,Bachelors,7160.0,7.260000000000001,48,759.0,6,No,Own,0
22,38700.0,Salaried,Masters,11388.0,7.54,48,647.0,3,No,Rent,1
31,89596.0,Salaried,Masters,10978.0,8.73,48,548.0,4,No,Rent,1
55,63288.0,Salaried,HS,1999.0,5.03,60,628.0,4,No,Rent,0
49,38817.0,Salaried,Bachelors,4933.0,10.94,36,803.0,6,No,Rent,0
47,28303.0,Salaried,Bachelors,10141.0,9.72,60,719.0,6,No,Rent,0
59,18396.0,Salaried,Bachelors,6119.0,9.5,36,558.0,6,No,Rent,0
65,33387.0,Self-Employed,HS,20495.0,7.75,36,546.0,2,No,Own,1
57,54364.0,Salaried,Masters,13499.0,8.73,48,842.0,7,No,Mortgage,0
43,49666.0,Salaried,HS,9405.0,10.17,36,691.0,9,No,Own,0
48,88524.0,Self-Employed,Bachelors,7600.0,9.82,60,641.0,6,No,Own,0
56,50650.0,Salaried,HS,5589.0,9.71,36,698.0,8,No,Rent,1
53,35552.0,Salaried,HS,3579.0,15.570000000000002,36,776.0,3,No,Mortgage,0
51,25401.0,Salaried,Masters,25097.0,5.91,72,837.0,4,No,Own,0
50,24393.0,Salaried,HS,10437.0,14.51,48,678.0,6,No,Mortgage,1
56,49969.0,Salaried,Bachelors,6869.0,11.29,48,648.0,3,No,Rent,0
29,37282.0,Salaried,Masters,3357.0,10.22,36,589.0,6,No,Rent,0
57,53991.0,Salaried,Masters,20247.0,12.8,24,619.0,2,No,Rent,1
58,34376.0,Unemployed,Masters,6221.0,7.880000000000001,60,696.0,9,No,Rent,0
31,60695.0,Self-Employed,Bachelors,9641.0,5.9,72,811.0,0,No,Rent,0
58,24922.0,Self-Employed,Bachelors,9997.0,6.78,24,668.0,5,Yes,Rent,1
36,32113.0,Salaried,HS,9981.0,13.53,60,591.0,0,Yes,Mortgage,1
21,100661.0,Salaried,Masters,5474.0,6.2,36,732.0,7,No,Own,0
46,96932.0,Salaried,Masters,14971.0,13.3,72,791.0,4,No,Mortgage,0
43,70169.0,Salaried,Masters,9219.0,6.24,48,564.0,1,No,Mortgage,0
38,83123.0,Unemployed,HS,7781.0,11.51,36,740.0,7,No,Rent,0
52,44149.0,Salaried,PhD,13536.0,11.53,36,693.0,3,No,Rent,0
61,64820.0,Salaried,HS,6040.0,12.54,36,708.0,5,Yes,Own,0
37,52546.0,Salaried,HS,20160.0,15.2,60,678.0,5,No,Rent,1
65,39593.0,Salaried,HS,8297.0,4.49,60,780.0,6,No,Rent,0
69,54961.0,Salaried,PhD,25147.0,8.23,36,574.0,4,No,Rent,1
71,36791.0,Salaried,Bachelors,9600.0,9.26,36,802.0,4,No,Rent,0
61,72312.0,Self-Employed,Bachelors,11374.0,14.12,48,727.0,5,No,Mortgage,0
29,52580.0,Salaried,Bachelors,4731.0,6.340000000000001,36,725.0,7,No,Rent,0
30,53975.0,Salaried,HS,14877.0,14.45,72,517.0,4,No,Rent,1
38,35206.0,Unemployed,PhD,7438.0,9.9,24,605.0,9,No,Rent,0
48,63527.0,Unemployed,HS,6261.0,8.99,48,730.0,2,No,Rent,0
42,95330.0,Salaried,Masters,17243.0,9.91,72,704.0,6,No,Mortgage,0
33,48317.0,Salaried,Masters,15197.0,11.24,48,634.0,3,Yes,Rent,0
46,25752.0,Salaried,Masters,5994.0,8.02,60,755.0,3,No,Own,0
43,44454.0,Self-Employed,HS,6367.0,9.1,48,796.0,6,No,Own,0
66,78077.0,Self-Employed,Bachelors,7040.0,9.6,60,666.0,6,Yes,Mortgage,0
57,39169.0,Salaried,Bachelors,9380.0,14.56,48,635.0,3,No,Own,0
23,43361.0,Salaried,Masters,23180.0,10.5,48,658.0,5,No,Rent,1
64,32021.0,Salaried,Masters,32264.0,17.25,60,661.0,8,No,Own,1
35,38855.0,Self-Employed,Masters,4595.0,10.03,72,622.0,5,No,Mortgage,0
23,34156.0,Salaried,PhD,13793.0,11.07,48,781.0,4,No,Own,0
39,35620.0,Salaried,Bachelors,5433.0,11.82,24,729.0,3,Yes,Rent,0
53,26716.0,Unemployed,HS,5101.0,9.61,36,632.0,9,No,Rent,1
45,56930.0,Salaried,Masters,10554.0,7.75,48,670.0,6,No,Mortgage,0
27,48225.0,Unemployed,HS,12957.0,13.9,48,603.0,1,No,Rent,1
73,11950.0,Salaried,HS,5501.0,8.860000000000001,48,768.0,7,No,Own,0
34,47198.0,Self-Employed,Bachelors,3476.0,10.74,48,850.0,6,No,Rent,0
33,70275.0,Salaried,Masters,12849.0,14.27,48,623.0,4,No,Mortgage,0
52,11581.0,Salaried,Bachelors,4078.0,6.32,48,520.0,2,No,Rent,0
39,88841.0,Self-Employed,Masters,15262.0,10.7,60,720.0,8,No,Rent,1
69,13144.0,Salaried,Bachelors,6129.0,12.59,72,639.0,2,No,Own,1
68,65322.0,Unemployed,Bachelors,3630.0,6.25,60,763.0,4,No,Mortgage,0
64,28990.0,Salaried,PhD,7473.0,8.93,24,662.0,7,No,Own,0
42,25246.0,Salaried,HS,5781.0,11.99,72,683.0,4,No,Mortgage,0
55,57377.0,Salaried,Bachelors,8657.0,11.12,60,701.0,7,No,Mortgage,0
28,43444.0,Salaried,Masters,7310.0,8.81,60,659.0,5,Yes,Own,0
45,36088.0,Self-Employed,Bachelors,4029.0,6.090000000000001,48,658.0,10,No,Own,0
62,39021.0,Salaried,Bachelors,20579.0,12.13,48,569.0,8,No,Own,1
54,55217.0,Self-Employed,Masters,30306.0,2.51,36,736.0,7,No,Own,0
56,21317.0,Salaried,Bachelors,7320.0,9.08,36,678.0,7,No,Own,0
27,23625.0,Self-Employed,Bachelors,5388.0,10.1,48,666.0,4,No,Mortgage,0
50,31935.0,Salaried,HS,13575.0,7.550000000000001,48,654.0,7,No,Rent,0
35,56491.0,Salaried,HS,6045.0,10.48,48,610.0,8,No,Rent,1
30,99377.0,Salaried,HS,6942.0,9.99,48,630.0,5,Yes,Mortgage,0
31,62080.0,Self-Employed,Masters,17092.0,12.0,60,744.0,2,Yes,Own,0
42,24462.0,Salaried,HS,6726.0,5.58,60,539.0,5,No,Own,0
21,38963.0,Salaried,Masters,5772.0,9.49,48,676.0,8,No,Mortgage,0
66,65901.0,Salaried,Masters,8179.0,6.32,48,569.0,5,No,Rent,0
70,52323.0,Self-Employed,PhD,1505.0,8.52,48,636.0,4,No,Own,0
47,18519.0,Salaried,PhD,3916.0,4.5200000000000005,36,699.0,5,Yes,Mortgage,0
55,26341.0,Salaried,Bachelors,16489.0,9.64,72,561.0,2,Yes,Rent,1
23,81851.0,Self-Employed,HS,4707.0,8.94,48,725.0,2,No,Mortgage,0
64,16917.0,Unemployed,HS,18847.0,9.89,36,561.0,4,Yes,Rent,1
21,29833.0,Salaried,Masters,6398.0,9.97,48,701.0,3,No,Own,0
46,18101.0,Salaried,Bachelors,20485.0,12.81,60,670.0,7,No,Own,1
72,77331.0,Salaried,HS,2740.0,4.2,72,584.0,7,No,Rent,0
43,33707.0,Salaried,Bachelors,4514.0,1.9,24,628.0,8,No,Mortgage,0
61,21649.0,Self-Employed,Bachelors,15254.0,12.55,36,606.0,7,No,Mortgage,0
71,37231.0,Salaried,Masters,2586.0,11.74,72,691.0,4,No,Rent,0
56,48577.0,Salaried,Bachelors,8903.0,14.9,48,579.0,2,No,Own,1
53,65315.0,Salaried,Bachelors,7952.0,10.95,36,600.0,4,Yes,Mortgage,0
60,31701.0,Salaried,Bachelors,3552.0,12.63,72,649.0,2,No,Mortgage,0
70,15890.0,Salaried,PhD,8470.0,8.0,24,729.0,4,No,Rent,0
57,18786.0,Salaried,Masters,8469.0,13.11,60,640.0,3,No,Own,0
59,39070.0,Salaried,Bachelors,2400.0,7.0200000000000005,48,757.0,4,Yes,Rent,0
30,39339.0,Salaried,Bachelors,11100.0,9.38,24,756.0,4,No,Mortgage,0
31,62977.0,Salaried,Bachelors,9641.0,9.46,60,525.0,6,No,Mortgage,0
53,61622.0,Self-Employed,Masters,6368.0,8.49,48,612.0,3,No,Mortgage,0
48,37533.0,Salaried,Masters,5885.0,9.9,60,637.0,8,No,Rent,0
61,32536.0,Salaried,Bachelors,12903.0,5.4,48,819.0,8,No,Mortgage,0
62,48448.0,Salaried,Bachelors,10527.0,12.06,48,624.0,3,No,Own,1
22,36889.0,Salaried,Bachelors,8531.0,9.85,24,605.0,11,No,Rent,0
26,43959.0,Self-Employed,Bachelors,10959.0,3.6,60,673.0,6,No,Own,0
25,46255.0,Self-Employed,HS,12338.0,7.700000000000001,60,623.0,4,No,Rent,0
43,58082.0,Unemployed,Bachelors,4558.0,7.98,24,604.0,5,No,Own,0
21,36261.0,Salaried,HS,10863.0,10.0,60,713.0,5,No,Own,0
22,69369.0,Unemployed,Bachelors,5366.0,10.39,60,664.0,6,No,Own,0
58,56643.0,Self-Employed,Bachelors,7679.0,8.4,36,738.0,8,No,Rent,0
56,56916.0,Salaried,Bachelors,7079.0,7.74,48,775.0,1,No,Rent,0
45,45440.0,Salaried,Masters,8241.0,12.45,36,603.0,8,No,Mortgage,0
28,14898.0,Salaried,HS,10001.0,5.11,36,704.0,7,No,Rent,0
69,36192.0,Salaried,HS,10382.0,5.42,48,597.0,6,Yes,Own,0
25,44071.0,Salaried,Masters,11051.0,10.63,60,780.0,4,Yes,Rent,0
55,60071.0,Salaried,HS,9258.0,6.29,36,784.0,5,No,Mortgage,0
67,40376.0,Salaried,HS,6719.0,12.9,60,839.0,2,No,Own,0
53,49929.0,Salaried,Bachelors,13705.0,10.03,36,740.0,4,No,Rent,0
58,59875.0,Salaried,Bachelors,20445.0,5.95,72,616.0,4,No,Own,0
22,100389.0,Salaried,Bachelors,6565.0,11.54,72,589.0,4,No,Own,0
28,24085.0,Salaried,Masters,7755.0,9.52,72,775.0,3,No,Own,0
26,67462.0,Salaried,Masters,7198.0,13.57,48,507.0,9,No,Own,1
35,53168.0,Salaried,Masters,4742.0,13.71,60,512.0,5,No,Own,1
62,30564.0,Salaried,Bachelors,12786.0,11.29,24,666.0,7,No,Own,1
42,45327.0,Salaried,Masters,5017.0,9.69,60,680.0,2,No,Own,0
38,47664.0,Self-Employed,Masters,4297.0,8.82,72,656.0,5,No,Mortgage,0
24,32576.0,Salaried,Bachelors,4409.0,7.36,48,652.0,4,No,Rent,0
22,61184.0,Salaried,HS,14609.0,10.36,48,779.0,4,No,Rent,0
52,54346.0,Salaried,Bachelors,8437.0,8.25,72,708.0,6,No,Own,0
34,71590.0,Self-Employed,Masters,16802.0,6.890000000000001,60,739.0,3,No,Own,0
31,69396.0,Salaried,Masters,19765.0,11.11,36,624.0,2,No,Rent,0
41,19164.0,Salaried,HS,10398.0,13.63,36,820.0,2,No,Mortgage,1
52,45881.0,Unemployed,HS,11103.0,7.42,60,734.0,2,No,Rent,0
21,60262.0,Salaried,Bachelors,9594.0,8.93,60,609.0,8,No,Mortgage,1
68,49351.0,Salaried,HS,5920.0,12.14,48,718.0,4,No,Rent,0
24,75787.0,Unemployed,Bachelors,14768.0,8.99,72,584.0,3,No,Rent,1
24,26984.0,Self-Employed,PhD,21342.0,5.890000000000001,36,643.0,4,No,Rent,0
51,48347.0,Self-Employed,Bachelors,7006.0,5.6000000000000005,36,703.0,3,No,Mortgage,0
55,24086.0,Salaried,Masters,2523.0,6.83,48,631.0,9,No,Rent,0
28,42605.0,Salaried,Bachelors,14885.0,9.67,60,542.0,3,No,Rent,1
65,28521.0,Salaried,HS,6853.0,12.22,36,579.0,4,No,Own,1
28,18084.0,Unemployed,HS,7111.0,6.3500000000000005,48,850.0,6,Yes,Mortgage,0
23,49241.0,Self-Employed,Masters,8036.0,7.37,36,674.0,5,Yes,Own,0
36,41710.0,Salaried,Bachelors,48033.0,8.61,60,763.0,3,No,Own,1
23,29847.0,Salaried,Bachelors,13388.0,3.93,48,603.0,7,No,Mortgage,0
25,47575.0,Salaried,Masters,5993.0,10.09,48,588.0,7,No,Rent,0
68,67430.0,Salaried,HS,5942.0,9.0,36,639.0,7,Yes,Own,0
21,16663.0,Self-Employed,Bachelors,10154.0,14.48,48,687.0,5,No,Rent,1
54,23677.0,Salaried,Bachelors,12528.0,5.83,60,609.0,4,No,Own,0
35,39838.0,Salaried,HS,9272.0,16.71,72,641.0,6,No,Rent,1
24,86928.0,Salaried,HS,6790.0,6.880000000000001,60,692.0,3,No,Rent,0
37,19530.0,Salaried,Masters,1128.0,9.26,24,720.0,3,No,Rent,0
71,78031.0,Salaried,Masters,6648.0,11.61,60,710.0,12,No,Own,1
46,36718.0,Salaried,HS,23542.0,3.07,24,713.0,6,No,Rent,0
29,43038.0,Salaried,Bachelors,6843.0,16.47,36,603.0,6,No,Rent,0
57,45380.0,Salaried,Bachelors,6841.0,11.31,36,691.0,1,Yes,Rent,1
63,19989.0,Salaried,Bachelors,5931.0,9.79,60,726.0,4,Yes,Rent,0
74,49650.0,Salaried,Bachelors,30092.0,8.370000000000001,24,710.0,2,No,Own,0
58,28764.0,Salaried,Bachelors,12522.0,7.4,36,651.0,1,No,Rent,0
65,89708.0,Salaried,Masters,4067.0,11.71,36,750.0,4,No,Rent,0
34,52444.0,Unemployed,HS,7232.0,14.2,48,728.0,7,No,Rent,1
25,42904.0,Salaried,PhD,12649.0,10.09,36,698.0,5,No,Mortgage,0
36,36422.0,Salaried,Bachelors,3353.0,4.87,48,684.0,4,No,Own,0
28,38891.0,Unemployed,Masters,12353.0,8.360000000000001,48,703.0,7,No,Own,0
47,56347.0,Salaried,Masters,4848.0,6.720000000000001,24,735.0,2,Yes,Own,0
24,58867.0,Salaried,HS,8503.0,16.02,60,582.0,4,No,Rent,1
67,23468.0,Self-Employed,Bachelors,8962.0,3.5900000000000003,36,606.0,4,No,Rent,0
21,33995.0,Salaried,HS,4516.0,9.17,48,788.0,5,No,Mortgage,0
53,13261.0,Salaried,Masters,11164.0,10.56,48,714.0,3,No,Rent,0
72,37900.0,Salaried,Bachelors,21187.0,10.97,60,535.0,3,No,Rent,1
65,84548.0,Self-Employed,HS,3945.0,12.47,48,721.0,7,No,Rent,0
74,29367.0,Salaried,Bachelors,13671.0,7.620000000000001,72,658.0,5,No,Own,0
25,151409.0,Self-Employed,Masters,3485.0,8.16,36,616.0,5,No,Rent,0
36,27941.0,Salaried,Bachelors,9149.0,11.33,60,677.0,4,No,Mortgage,1
41,55102.0,Salaried,Masters,2693.0,6.69,72,735.0,6,No,Own,0
38,40445.0,Salaried,PhD,8299.0,8.35,48,692.0,6,No,Own,0
73,89057.0,Salaried,Bachelors,9715.0,14.239999999999998,60,616.0,5,No,Rent,1
23,35860.0,Salaried,Bachelors,9979.0,12.71,48,647.0,5,Yes,Rent,0
54,44097.0,Self-Employed,Masters,11403.0,6.54,36,576.0,4,No,Own,0
21,55402.0,Salaried,HS,13950.0,16.080000000000002,60,722.0,4,No,Mortgage,1
30,31050.0,Salaried,Bachelors,10803.0,6.51,48,630.0,1,No,Mortgage,1
64,90889.0,Self-Employed,Bachelors,11569.0,10.77,36,567.0,1,No,Mortgage,1
28,36338.0,Salaried,Masters,4998.0,11.66,48,707.0,2,No,Own,0
73,55701.0,Unemployed,HS,9195.0,6.140000000000001,24,650.0,7,No,Rent,0
66,76755.0,Self-Employed,Bachelors,2941.0,6.95,36,793.0,5,No,Own,0
61,67193.0,Salaried,Bachelors,13443.0,5.6000000000000005,36,724.0,3,No,Rent,0
56,41015.0,Self-Employed,HS,4467.0,9.08,36,608.0,7,No,Mortgage,0
25,63045.0,Salaried,Bachelors,10089.0,7.620000000000001,60,672.0,6,No,Rent,0
47,17749.0,Salaried,HS,22585.0,6.98,60,691.0,7,No,Mortgage,1
55,60211.0,Salaried,Bachelors,9646.0,9.74,72,664.0,5,No,Own,0
68,41552.0,Salaried,PhD,14305.0,10.22,60,724.0,0,Yes,Rent,0
34,42255.0,Salaried,Bachelors,8242.0,6.300000000000001,48,741.0,6,No,Own,0
65,43265.0,Self-Employed,Bachelors,10119.0,13.72,48,784.0,6,Yes,Rent,0
58,70311.0,Salaried,Bachelors,7707.0,7.84,36,666.0,2,No,Rent,0
36,37575.0,Self-Employed,PhD,8136.0,6.66,60,749.0,1,No,Own,0
37,52617.0,Self-Employed,HS,8659.0,6.800000000000001,48,674.0,8,No,Mortgage,0
48,34123.0,Salaried,Bachelors,17143.0,12.88,24,653.0,6,Yes,Mortgage,0
40,61604.0,Self-Employed,HS,4763.0,10.84,48,717.0,3,No,Own,0
72,41150.0,Salaried,HS,6947.0,8.200000000000001,60,666.0,7,No,Own,0
61,23843.0,Salaried,HS,11101.0,6.94,48,615.0,6,Yes,Mortgage,1
30,17944.0,Self-Employed,HS,4201.0,9.06,36,749.0,7,Yes,Own,0
28,20787.0,Salaried,Bachelors,9344.0,5.69,36,786.0,1,No,Own,0
48,94460.0,Salaried,Bachelors,9461.0,11.46,36,626.0,3,No,Rent,1
59,24421.0,Salaried,Masters,22400.0,8.41,60,756.0,5,No,Own,1
57,76639.0,Salaried,Bachelors,9945.0,6.5200000000000005,36,785.0,2,No,Mortgage,0
34,25267.0,Salaried,Bachelors,10699.0,9.89,60,680.0,7,No,Rent,0
50,44064.0,Salaried,PhD,12754.0,10.95,48,850.0,3,No,Rent,0
62,74624.0,Self-Employed,HS,7411.0,7.939999999999999,36,537.0,7,No,Own,0
24,31538.0,Self-Employed,HS,7699.0,10.23,36,746.0,4,No,Mortgage,0
51,37472.0,Salaried,Bachelors,6556.0,3.8,60,738.0,5,No,Mortgage,0
55,33952.0,Self-Employed,Bachelors,13093.0,17.63,60,640.0,1,No,Mortgage,0
71,49230.0,Salaried,HS,4924.0,7.860000000000001,48,636.0,6,No,Own,0
47,62432.0,Salaried,Bachelors,5692.0,10.88,60,672.0,4,No,Mortgage,0
49,17160.0,Self-Employed,Bachelors,5479.0,13.38,48,589.0,2,No,Rent,0
71,45389.0,Self-Employed,Masters,3393.0,11.24,48,779.0,5,No,Own,0
40,20462.0,Salaried,HS,10235.0,13.39,36,616.0,2,No,Own,1
22,19545.0,Salaried,HS,4362.0,12.68,36,676.0,1,No,Mortgage,0
73,17999.0,Salaried,Masters,6900.0,12.36,36,529.0,4,No,Mortgage,0
26,60460.0,Self-Employed,Bachelors,6129.0,18.73,24,729.0,1,No,Rent,1
64,47373.0,Salaried,Bachelors,11577.0,10.92,60,690.0,6,No,Own,0
67,45071.0,Self-Employed,Bachelors,4971.0,8.9,48,631.0,3,No,Rent,0
53,31993.0,Salaried,Bachelors,6797.0,6.71,36,698.0,5,No,Rent,1
60,59200.0,Self-Employed,HS,4942.0,10.22,36,586.0,5,No,Own,0
45,47896.0,Self-Employed,HS,6150.0,11.88,48,757.0,5,No,Rent,0
25,57286.0,Salaried,Masters,19584.0,5.8500000000000005,36,655.0,3,No,Mortgage,0
55,40923.0,Salaried,Masters,8957.0,9.77,60,768.0,5,No,Mortgage,0
27,30486.0,Salaried,Masters,5927.0,12.77,36,629.0,6,No,Own,1
57,24095.0,Self-Employed,Bachelors,17772.0,11.61,36,734.0,8,No,Rent,0
68,91767.0,Salaried,HS,1818.0,9.88,60,651.0,3,No,Own,0
58,59268.0,Salaried,HS,13628.0,9.52,48,665.0,6,Yes,Rent,1
72,33829.0,Salaried,HS,6132.0,6.510000000000001,48,691.0,5,No,Rent,0
39,57878.0,Salaried,Masters,8336.0,12.32,36,636.0,7,Yes,Own,0
27,28783.0,Salaried,Bachelors,3042.0,7.65,48,597.0,5,No,Own,0
65,33411.0,Self-Employed,Masters,12998.0,10.55,48,802.0,5,No,Own,0
42,29888.0,Salaried,Bachelors,14840.0,11.11,48,737.0,4,No,Own,0
41,69434.0,Salaried,HS,2117.0,6.7,48,698.0,1,No,Rent,0
31,85320.0,Salaried,HS,11874.0,11.92,60,637.0,4,No,Own,0
63,53781.0,Salaried,Masters,6945.0,6.7700000000000005,72,545.0,4,No,Mortgage,0
24,42648.0,Salaried,Bachelors,19404.0,6.2,24,700.0,5,No,Rent,1
66,63992.0,Self-Employed,Masters,34401.0,6.37,60,738.0,6,No,Mortgage,0
23,22754.0,Unemployed,HS,8109.0,7.010000000000001,48,623.0,6,No,Rent,0
50,46225.0,Self-Employed,HS,11576.0,7.380000000000001,48,758.0,5,No,Own,0
45,23212.0,Self-Employed,HS,36854.0,12.55,72,624.0,8,No,Own,1
52,36408.0,Self-Employed,HS,7368.0,6.8500000000000005,60,688.0,1,No,Own,0
62,56661.0,Salaried,Masters,17579.0,10.02,36,745.0,3,No,Own,0
74,70711.0,Salaried,Bachelors,13050.0,7.92,24,764.0,9,No,Mortgage,0
23,85089.0,Salaried,HS,1677.0,10.85,60,796.0,3,No,Mortgage,0
41,22451.0,Salaried,Masters,9290.0,4.300000000000001,48,730.0,4,No,Own,0
44,27309.0,Salaried,HS,6459.0,8.39,60,697.0,8,No,Own,0
55,36963.0,Self-Employed,HS,9357.0,4.95,72,647.0,1,No,Own,0
62,30502.0,Salaried,Bachelors,3040.0,7.939999999999999,48,686.0,6,No,Rent,0
58,27626.0,Salaried,HS,4305.0,11.63,48,713.0,4,No,Rent,0
51,38512.0,Self-Employed,Bachelors,14609.0,10.32,72,753.0,8,Yes,Mortgage,0
32,40771.0,Salaried,Bachelors,13357.0,11.62,36,801.0,3,No,Rent,0
52,25683.0,Salaried,Masters,18340.0,6.95,60,574.0,3,No,Rent,1
33,28919.0,Salaried,Masters,15396.0,8.280000000000001,60,691.0,5,No,Rent,0
71,33165.0,Self-Employed,HS,8401.0,13.89,36,511.0,3,No,Own,1
25,38235.0,Salaried,HS,5287.0,9.92,60,660.0,6,No,Rent,0
34,18799.0,Self-Employed,HS,8098.0,7.41,60,641.0,3,No,Rent,1
43,25321.0,Salaried,Bachelors,5070.0,7.08,24,716.0,7,No,Own,0
69,30095.0,Salaried,PhD,4302.0,8.610000000000001,48,611.0,2,Yes,Own,0
34,35450.0,Salaried,HS,11689.0,11.56,60,711.0,8,No,Mortgage,0
65,33845.0,Salaried,HS,9516.0,9.33,48,670.0,4,No,Mortgage,0
55,44695.0,Salaried,HS,24208.0,8.82,48,523.0,5,No,Own,0
68,49368.0,Salaried,HS,15589.0,9.99,36,768.0,2,Yes,Rent,0
44,90763.0,Salaried,PhD,5871.0,8.700000000000001,48,801.0,5,No,Own,0
48,30030.0,Salaried,HS,8133.0,3.03,60,640.0,5,No,Rent,0
68,42562.0,Unemployed,PhD,5417.0,11.79,36,674.0,4,No,Mortgage,0
63,26419.0,Salaried,Masters,11036.0,8.450000000000001,36,720.0,8,No,Own,0
67,28296.0,Salaried,Bachelors,6006.0,3.89,24,753.0,2,No,Rent,0
28,37137.0,Salaried,Bachelors,4858.0,6.03,36,671.0,7,No,Mortgage,0
31,15069.0,Self-Employed,HS,12944.0,14.35,36,583.0,3,No,Mortgage,1
34,118416.0,Salaried,Bachelors,16350.0,10.93,60,679.0,8,No,Own,0
